,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
239,0.05,0.1,10.0,multiplicative,0.95,0.03757876964534619
240,0.05,0.5,0.01,additive,0.8,0.055313761063560694
241,0.05,0.5,0.01,additive,0.85,0.03023623021845519
242,0.05,0.5,0.01,additive,0.9,0.03921750075789788
243,0.05,0.5,0.01,additive,0.95,0.03771306170103129
244,0.05,0.5,0.01,multiplicative,0.8,0.05541399164715175
245,0.05,0.5,0.01,multiplicative,0.85,0.030695462066092097
246,0.05,0.5,0.01,multiplicative,0.9,0.039334005186419836
247,0.05,0.5,0.01,multiplicative,0.95,0.03783176681770751
248,0.05,0.5,0.1,additive,0.8,0.055313761063560694
249,0.05,0.5,0.1,additive,0.85,0.03023623021845519
250,0.05,0.5,0.1,additive,0.9,0.03921750075789788
251,0.05,0.5,0.1,additive,0.95,0.03771306170103129
252,0.05,0.5,0.1,multiplicative,0.8,0.05541399164715175
253,0.05,0.5,0.1,multiplicative,0.85,0.030695462066092097
254,0.05,0.5,0.1,multiplicative,0.9,0.039334005186419836
255,0.05,0.5,0.1,multiplicative,0.95,0.03783176681770751
256,0.05,0.5,0.5,additive,0.8,0.055313761063560694
257,0.05,0.5,0.5,additive,0.85,0.03023623021845519
258,0.05,0.5,0.5,additive,0.9,0.03921750075789788
259,0.05,0.5,0.5,additive,0.95,0.03771306170103129
260,0.05,0.5,0.5,multiplicative,0.8,0.05541399164715175
261,0.05,0.5,0.5,multiplicative,0.85,0.030695462066092097
262,0.05,0.5,0.5,multiplicative,0.9,0.039334005186419836
263,0.05,0.5,0.5,multiplicative,0.95,0.03783176681770751
264,0.05,0.5,1.0,additive,0.8,0.055313761063560694
265,0.05,0.5,1.0,additive,0.85,0.03023623021845519
266,0.05,0.5,1.0,additive,0.9,0.03921750075789788
267,0.05,0.5,1.0,additive,0.95,0.03771306170103129
268,0.05,0.5,1.0,multiplicative,0.8,0.05541399164715175
269,0.05,0.5,1.0,multiplicative,0.85,0.030695462066092097
270,0.05,0.5,1.0,multiplicative,0.9,0.039334005186419836
271,0.05,0.5,1.0,multiplicative,0.95,0.03783176681770751
272,0.05,0.5,10.0,additive,0.8,0.055313761063560694
273,0.05,0.5,10.0,additive,0.85,0.03023623021845519
274,0.05,0.5,10.0,additive,0.9,0.03921750075789788
275,0.05,0.5,10.0,additive,0.95,0.03771306170103129
276,0.05,0.5,10.0,multiplicative,0.8,0.05541399164715175
277,0.05,0.5,10.0,multiplicative,0.85,0.030695462066092097
278,0.05,0.5,10.0,multiplicative,0.9,0.039334005186419836
279,0.05,0.5,10.0,multiplicative,0.95,0.03783176681770751
280,0.05,1.0,0.01,additive,0.8,0.05614570375202503
281,0.05,1.0,0.01,additive,0.85,0.03045171559261389
282,0.05,1.0,0.01,additive,0.9,0.038813156069565126
283,0.05,1.0,0.01,additive,0.95,0.036859096583610355
284,0.05,1.0,0.01,multiplicative,0.8,0.05578965835617766
285,0.05,1.0,0.01,multiplicative,0.85,0.03077895315919193
286,0.05,1.0,0.01,multiplicative,0.9,0.03840743308795176
287,0.05,1.0,0.01,multiplicative,0.95,0.03870724185320869
288,0.05,1.0,0.1,additive,0.8,0.05614570375202503
289,0.05,1.0,0.1,additive,0.85,0.03045171559261389
290,0.05,1.0,0.1,additive,0.9,0.038813156069565126
291,0.05,1.0,0.1,additive,0.95,0.036859096583610355
292,0.05,1.0,0.1,multiplicative,0.8,0.05578965835617766
293,0.05,1.0,0.1,multiplicative,0.85,0.03077895315919193
294,0.05,1.0,0.1,multiplicative,0.9,0.03840743308795176
295,0.05,1.0,0.1,multiplicative,0.95,0.03870724185320869
296,0.05,1.0,0.5,additive,0.8,0.05614570375202503
297,0.05,1.0,0.5,additive,0.85,0.03045171559261389
298,0.05,1.0,0.5,additive,0.9,0.038813156069565126
299,0.05,1.0,0.5,additive,0.95,0.036859096583610355
300,0.05,1.0,0.5,multiplicative,0.8,0.05578965835617766
301,0.05,1.0,0.5,multiplicative,0.85,0.03077895315919193
302,0.05,1.0,0.5,multiplicative,0.9,0.03840743308795176
303,0.05,1.0,0.5,multiplicative,0.95,0.03870724185320869
304,0.05,1.0,1.0,additive,0.8,0.05614570375202503
305,0.05,1.0,1.0,additive,0.85,0.03045171559261389
306,0.05,1.0,1.0,additive,0.9,0.038813156069565126
307,0.05,1.0,1.0,additive,0.95,0.036859096583610355
308,0.05,1.0,1.0,multiplicative,0.8,0.05578965835617766
309,0.05,1.0,1.0,multiplicative,0.85,0.03077895315919193
310,0.05,1.0,1.0,multiplicative,0.9,0.03840743308795176
311,0.05,1.0,1.0,multiplicative,0.95,0.03870724185320869
312,0.05,1.0,10.0,additive,0.8,0.05614570375202503
313,0.05,1.0,10.0,additive,0.85,0.03045171559261389
314,0.05,1.0,10.0,additive,0.9,0.038813156069565126
315,0.05,1.0,10.0,additive,0.95,0.036859096583610355
316,0.05,1.0,10.0,multiplicative,0.8,0.05578965835617766
317,0.05,1.0,10.0,multiplicative,0.85,0.03077895315919193
318,0.05,1.0,10.0,multiplicative,0.9,0.03840743308795176
319,0.05,1.0,10.0,multiplicative,0.95,0.03870724185320869
320,0.1,0.01,0.01,additive,0.8,0.0482781648336312
321,0.1,0.01,0.01,additive,0.85,0.027125749137546944
322,0.1,0.01,0.01,additive,0.9,0.04721273851918079
323,0.1,0.01,0.01,additive,0.95,0.03253071682914583
324,0.1,0.01,0.01,multiplicative,0.8,0.047886301512036454
325,0.1,0.01,0.01,multiplicative,0.85,0.027383056377327197
326,0.1,0.01,0.01,multiplicative,0.9,0.047491468225549976
327,0.1,0.01,0.01,multiplicative,0.95,0.03258525671436297
328,0.1,0.01,0.1,additive,0.8,0.0482781648336312
329,0.1,0.01,0.1,additive,0.85,0.027125749137546944
330,0.1,0.01,0.1,additive,0.9,0.04721273851918079
331,0.1,0.01,0.1,additive,0.95,0.03253071682914583
332,0.1,0.01,0.1,multiplicative,0.8,0.047886301512036454
333,0.1,0.01,0.1,multiplicative,0.85,0.027383056377327197
334,0.1,0.01,0.1,multiplicative,0.9,0.047491468225549976
335,0.1,0.01,0.1,multiplicative,0.95,0.03258525671436297
336,0.1,0.01,0.5,additive,0.8,0.0482781648336312
337,0.1,0.01,0.5,additive,0.85,0.027125749137546944
338,0.1,0.01,0.5,additive,0.9,0.04721273851918079
339,0.1,0.01,0.5,additive,0.95,0.03253071682914583
340,0.1,0.01,0.5,multiplicative,0.8,0.047886301512036454
341,0.1,0.01,0.5,multiplicative,0.85,0.027383056377327197
342,0.1,0.01,0.5,multiplicative,0.9,0.047491468225549976
343,0.1,0.01,0.5,multiplicative,0.95,0.03258525671436297
344,0.1,0.01,1.0,additive,0.8,0.0482781648336312
345,0.1,0.01,1.0,additive,0.85,0.027125749137546944
346,0.1,0.01,1.0,additive,0.9,0.04721273851918079
347,0.1,0.01,1.0,additive,0.95,0.03253071682914583
348,0.1,0.01,1.0,multiplicative,0.8,0.047886301512036454
349,0.1,0.01,1.0,multiplicative,0.85,0.027383056377327197
350,0.1,0.01,1.0,multiplicative,0.9,0.047491468225549976
351,0.1,0.01,1.0,multiplicative,0.95,0.03258525671436297
352,0.1,0.01,10.0,additive,0.8,0.0482781648336312
353,0.1,0.01,10.0,additive,0.85,0.027125749137546944
354,0.1,0.01,10.0,additive,0.9,0.04721273851918079
355,0.1,0.01,10.0,additive,0.95,0.03253071682914583
356,0.1,0.01,10.0,multiplicative,0.8,0.047886301512036454
357,0.1,0.01,10.0,multiplicative,0.85,0.027383056377327197
358,0.1,0.01,10.0,multiplicative,0.9,0.047491468225549976
359,0.1,0.01,10.0,multiplicative,0.95,0.03258525671436297
360,0.1,0.1,0.01,additive,0.8,0.04730848046438564
361,0.1,0.1,0.01,additive,0.85,0.027187032393374395
362,0.1,0.1,0.01,additive,0.9,0.04761186745835626
363,0.1,0.1,0.01,additive,0.95,0.032671438407928195
364,0.1,0.1,0.01,multiplicative,0.8,0.048942755583983484
365,0.1,0.1,0.01,multiplicative,0.85,0.027364755384510487
366,0.1,0.1,0.01,multiplicative,0.9,0.048195304379416215
367,0.1,0.1,0.01,multiplicative,0.95,0.03256639090972114
368,0.1,0.1,0.1,additive,0.8,0.04730848046438564
369,0.1,0.1,0.1,additive,0.85,0.027187032393374395
370,0.1,0.1,0.1,additive,0.9,0.04761186745835626
371,0.1,0.1,0.1,additive,0.95,0.032671438407928195
372,0.1,0.1,0.1,multiplicative,0.8,0.048942755583983484
373,0.1,0.1,0.1,multiplicative,0.85,0.027364755384510487
374,0.1,0.1,0.1,multiplicative,0.9,0.048195304379416215
375,0.1,0.1,0.1,multiplicative,0.95,0.03256639090972114
376,0.1,0.1,0.5,additive,0.8,0.04730848046438564
377,0.1,0.1,0.5,additive,0.85,0.027187032393374395
378,0.1,0.1,0.5,additive,0.9,0.04761186745835626
379,0.1,0.1,0.5,additive,0.95,0.032671438407928195
380,0.1,0.1,0.5,multiplicative,0.8,0.048942755583983484
381,0.1,0.1,0.5,multiplicative,0.85,0.027364755384510487
382,0.1,0.1,0.5,multiplicative,0.9,0.048195304379416215
383,0.1,0.1,0.5,multiplicative,0.95,0.03256639090972114
384,0.1,0.1,1.0,additive,0.8,0.04730848046438564
385,0.1,0.1,1.0,additive,0.85,0.027187032393374395
386,0.1,0.1,1.0,additive,0.9,0.04761186745835626
