Order,Seasonal_Order,Score
"(0, 1, 1)","(1, 1, 2, 4)",0.004204310386718485
"(0, 1, 1)","(1, 1, 3, 4)",0.0040872000779565015
"(0, 1, 1)","(1, 2, 0, 4)",0.07173755802967441
"(0, 1, 1)","(1, 2, 1, 4)",0.003434312842320583
"(0, 1, 1)","(1, 2, 2, 4)",0.0029851495578153324
"(0, 1, 1)","(1, 2, 3, 4)",0.003564429579729067
"(0, 1, 1)","(1, 3, 0, 4)",0.1905183673061523
"(0, 1, 1)","(1, 3, 1, 4)",0.027107800595895504
"(0, 1, 1)","(1, 3, 2, 4)",0.0271017707699212
"(0, 1, 1)","(1, 3, 3, 4)",0.015207239688544755
"(0, 1, 1)","(2, 0, 0, 4)",0.00396425785327958
"(0, 1, 1)","(2, 0, 1, 4)",0.003972992215557488
"(0, 1, 1)","(2, 0, 2, 4)",0.0040268280537570315
"(0, 1, 1)","(2, 0, 3, 4)",0.0038117226228454883
"(0, 1, 1)","(2, 1, 0, 4)",0.003925730314448423
"(0, 1, 1)","(2, 1, 1, 4)",0.00412073800724152
"(0, 1, 1)","(2, 1, 2, 4)",0.004125494193618932
"(0, 1, 1)","(2, 1, 3, 4)",0.004044734749157003
"(0, 1, 1)","(2, 2, 0, 4)",0.03584287277918915
"(0, 1, 1)","(2, 2, 1, 4)",0.003928796277257181
"(0, 1, 1)","(2, 2, 2, 4)",0.004015745437252277
"(0, 1, 1)","(2, 2, 3, 4)",0.003520935400711931
"(0, 1, 1)","(2, 3, 0, 4)",0.11619078879878326
"(0, 1, 1)","(2, 3, 1, 4)",0.02672543863720394
"(0, 1, 1)","(2, 3, 2, 4)",0.026898630633795956
"(0, 1, 1)","(2, 3, 3, 4)",0.026817366896110258
"(0, 1, 1)","(3, 0, 0, 4)",0.0038550600866677108
"(0, 1, 1)","(3, 0, 1, 4)",0.0038772417737857395
"(0, 1, 1)","(3, 0, 2, 4)",0.003579389905283282
"(0, 1, 1)","(3, 0, 3, 4)",0.003821800123007647
"(0, 1, 1)","(3, 1, 0, 4)",0.004702124798277414
"(0, 1, 1)","(3, 1, 1, 4)",0.004131494689912456
"(0, 1, 1)","(3, 1, 2, 4)",0.004029161576782946
"(0, 1, 1)","(3, 1, 3, 4)",0.004035808913086364
"(0, 1, 1)","(3, 2, 0, 4)",0.016149011964616062
"(0, 1, 1)","(3, 2, 1, 4)",0.004871750545618938
"(0, 1, 1)","(3, 2, 2, 4)",0.003916383653105313
"(0, 1, 1)","(3, 2, 3, 4)",0.003533455606721788
"(0, 1, 1)","(3, 3, 0, 4)",0.088145153195622
"(0, 1, 1)","(3, 3, 1, 4)",0.02640574393984569
"(0, 1, 1)","(3, 3, 2, 4)",0.02549802255278616
"(0, 1, 1)","(3, 3, 3, 4)",0.028021587890346346
"(0, 1, 2)","(0, 0, 0, 4)",0.004024304684464014
"(0, 1, 2)","(0, 0, 1, 4)",0.003972026036604911
"(0, 1, 2)","(0, 0, 2, 4)",0.0040038631403254725
"(0, 1, 2)","(0, 0, 3, 4)",0.003851676303108363
"(0, 1, 2)","(0, 1, 0, 4)",0.0018969941224685712
"(0, 1, 2)","(0, 1, 1, 4)",0.00415935961957308
"(0, 1, 2)","(0, 1, 2, 4)",0.004145817329575959
"(0, 1, 2)","(0, 1, 3, 4)",0.00414804934126492
"(0, 1, 2)","(0, 2, 0, 4)",0.012576121492338183
"(0, 1, 2)","(0, 2, 1, 4)",0.0018783189189660898
"(0, 1, 2)","(0, 2, 2, 4)",0.0030340730543003585
"(0, 1, 2)","(0, 2, 3, 4)",0.002991225165495323
"(0, 1, 2)","(0, 3, 0, 4)",0.0615693101315528
"(0, 1, 2)","(0, 3, 1, 4)",0.015573272639891531
"(0, 1, 2)","(0, 3, 2, 4)",0.01489259004168057
"(0, 1, 2)","(0, 3, 3, 4)",0.015267443213193043
"(0, 1, 2)","(1, 0, 0, 4)",0.0039697855155290925
"(0, 1, 2)","(1, 0, 1, 4)",0.003998690551661377
"(0, 1, 2)","(1, 0, 2, 4)",0.004010180332844731
"(0, 1, 2)","(1, 0, 3, 4)",0.0039118657738968195
"(0, 1, 2)","(1, 1, 0, 4)",0.003300108037164515
"(0, 1, 2)","(1, 1, 1, 4)",0.00410343599443206
"(0, 1, 2)","(1, 1, 2, 4)",0.004237629958797891
"(0, 1, 2)","(1, 1, 3, 4)",0.004119447447365373
"(0, 1, 2)","(1, 2, 0, 4)",0.0713380161300198
"(0, 1, 2)","(1, 2, 1, 4)",0.0034842153321664763
"(0, 1, 2)","(1, 2, 2, 4)",0.003008260799365836
"(0, 1, 2)","(1, 2, 3, 4)",0.0028336207019405675
"(0, 1, 2)","(1, 3, 0, 4)",0.18784177937508753
"(0, 1, 2)","(1, 3, 1, 4)",0.027043226747371234
